Rk,Player,Pos,Age,Tm,G,GS,MP,FG,3P,DRB,TRB
76,John Butler,C,20,POR,19,1,11.6,0.9,0.4,0.7,0.9
77,Jamal Cain,SF,23,MIA,18,0,13.3,2.1,0.4,2.1,2.9
78,Kentavious Caldwell-Pope,SG,29,DEN,76,76,31.3,3.8,1.8,2.3,2.7
79,Facundo Campazzo,PG,31,DAL,8,0,6.5,0.4,0.4,0.3,0.3
80,Vlatko ?an?ar,PF,25,DEN,60,9,14.8,1.8,0.7,1.7,2.1
81,Clint Capela,C,28,ATL,65,63,26.6,5.4,0,7.1,11
82,Vernon Carey Jr.,C,21,WAS,11,0,2.5,0.2,0,0.7,1
83,Jevon Carter,PG,27,MIL,81,39,22.3,3,1.8,2.1,2.5
84,Wendell Carter Jr.,C,23,ORL,57,54,29.6,5.6,1.4,6.6,8.7
85,Michael Carter-Williams,PG,31,ORL,4,0,11,1.5,0.3,1,1.3
86,Alex Caruso,PG,28,CHI,67,36,23.5,1.9,0.8,2.3,2.9
87,Julian Champagnie,SF,21,TOT,17,3,18.8,3.5,1.9,2.9,3.5
87,Julian Champagnie,SF,21,PHI,2,0,3.5,0,0,0,0
87,Julian Champagnie,SF,21,SAS,15,3,20.9,3.9,2.2,3.3,4
88,Justin Champagnie,SF,21,TOT,5,0,6.8,1,0.2,1,1.6
88,Justin Champagnie,SF,21,TOR,3,0,3.7,1,0,1,1.3
88,Justin Champagnie,SF,21,BOS,2,0,11.5,1,0.5,1,2
89,Kennedy Chandler,PG,20,MEM,36,0,7.8,1,0.1,0.8,1.1
90,Max Christie,SG,19,LAL,41,3,12.5,1.1,0.6,1.7,1.8
91,Josh Christopher,SG,21,HOU,64,2,12.3,2.4,0.3,0.8,1.1
92,Brandon Clarke,PF,26,MEM,56,8,19.5,4.1,0,3.9,5.5
93,Jordan Clarkson,SG,30,UTA,61,61,32.6,7.5,2.5,2.9,4
94,Nic Claxton,C,23,BRK,76,76,29.9,5.4,0,6.8,9.2
95,Amir Coffey,SG,25,LAC,50,9,12.5,1.1,0.2,0.7,1.1
96,John Collins,PF,25,ATL,71,71,30,5.1,1,5.4,6.5
97,Zach Collins,C,25,SAS,63,26,22.9,4.5,0.9,4.5,6.4
98,Chance Comanche,C,26,POR,1,0,21,3,0,1,3
99,Mike Conley,PG,35,TOT,67,66,30.3,3.9,2,2.2,2.7
99,Mike Conley,PG,35,UTA,43,42,29.7,3.6,1.8,2.1,2.5
99,Mike Conley,PG,35,MIN,24,24,31.4,4.5,2.4,2.5,3.1
100,Pat Connaughton,SG,30,MIL,61,33,23.7,2.7,1.8,3.8,4.6
101,Xavier Cooks,PF,27,WAS,10,1,12.6,1.7,0,2.2,3.8
102,Robert Covington,PF,32,LAC,48,0,16.2,2.1,1.1,2.8,3.5
103,Torrey Craig,SF,32,PHO,79,60,24.7,2.9,1.3,3.6,5.4
104,Jae Crowder,SF,32,MIL,18,3,18.9,2.5,1.3,2.9,3.8
105,Jarrett Culver,SG,23,ATL,10,1,13.7,1.7,0.1,2.8,3.8
106,Cade Cunningham,PG,21,DET,12,12,33.3,7.8,1.4,5.2,6.2
107,Seth Curry,SG,32,BRK,61,7,19.9,3.4,1.5,1.4,1.6
108,Stephen Curry,PG,34,GSW,56,56,34.7,10,4.9,5.4,6.1
109,Dyson Daniels,PG,19,NOP,59,11,17.7,1.5,0.5,2.6,3.2
110,Anthony Davis,C,29,LAL,56,54,34,9.7,0.3,9.1,12.5
111,Johnny Davis,SG,20,WAS,28,5,15.1,2.4,0.6,2,2.3
112,Terence Davis,SG,25,SAC,64,5,13.1,2.4,1.4,1.9,2.2
113,JD Davison,PG,20,BOS,12,0,5.5,0.7,0.2,0.6,0.8
114,Darius Days,PF,23,HOU,4,0,6.3,1.3,0.8,1.3,1.5
115,Dewayne Dedmon,C,33,TOT,38,1,11.2,2,0.3,2.6,3.5
115,Dewayne Dedmon,C,33,MIA,30,0,11.7,2.1,0.4,2.7,3.6
115,Dewayne Dedmon,C,33,PHI,8,1,9.5,1.6,0.1,2.4,3.1
116,Matthew Dellavedova,PG,32,SAC,32,0,6.7,0.5,0.3,0.4,0.4
117,DeMar DeRozan,SF,33,CHI,74,74,36.2,8.9,0.6,4.2,4.6
118,Moussa Diabaté,PF,21,LAC,22,1,8.9,1.1,0,0.9,2.3
119,Mamadi Diakite,PF,26,CLE,22,2,8,1.1,0.3,1,1.4
120,Hamidou Diallo,SG,24,DET,56,0,17.8,3.8,0.1,2.4,3.5
121,Gorgui Dieng,C,33,SAS,31,1,11.5,1.5,0.7,2.6,3.5
122,Ousmane Dieng,SF,19,OKC,39,1,14.6,1.9,0.7,2.2,2.7
123,Spencer Dinwiddie,PG,29,TOT,79,79,34.5,5.8,2.3,3.1,3.4
123,Spencer Dinwiddie,PG,29,DAL,53,53,34.1,6,2.6,2.7,3.1
123,Spencer Dinwiddie,PG,29,BRK,26,26,35.3,5.5,1.7,3.8,4.1
124,Donte DiVincenzo,SG,26,GSW,72,36,26.3,3.3,2.1,3.4,4.5
125,Luka Don?i?,PG,23,DAL,66,66,36.2,10.9,2.8,7.8,8.6
126,Tyler Dorsey,SG,26,DAL,3,0,2.7,1.3,0.3,0.3,0.7
127,Luguentz Dort,SG,23,OKC,74,73,30.7,4.6,1.8,2.9,4.6
128,Ayo Dosunmu,SG,23,CHI,80,51,26.2,3.5,0.7,2.2,2.8
129,Devon Dotson,PG,23,WAS,6,0,8.8,0.2,0.2,0.7,1.7
130,Jeff Dowtin,PG,25,TOR,25,0,10.4,1,0.2,0.7,0.9
131,PJ Dozier,SG,26,SAC,16,0,4.9,0.6,0.1,0.8,0.9
132,Goran Dragi?,PG,36,TOT,58,0,15,2.4,0.9,1.1,1.4
132,Goran Dragi?,PG,36,CHI,51,0,15.4,2.5,0.9,1.1,1.4
132,Goran Dragi?,PG,36,MIL,7,0,11.9,2,1,1.3,1.7
133,Andre Drummond,C,29,CHI,67,0,12.7,2.5,0,4.6,6.6
134,Chris Duarte,SF,25,IND,46,12,19.5,2.7,1.2,2.1,2.5
135,David Duke Jr.,SG,23,BRK,23,0,9.9,1.6,0,0.8,1.3
136,Kris Dunn,PG,28,UTA,22,3,25.8,5.3,0.8,4.1,4.5
137,Kevin Durant,PF-SF,34,TOT,47,47,35.6,10.3,2,6.3,6.7
137,Kevin Durant,PF,34,BRK,39,39,36,10.5,1.8,6.4,6.7
137,Kevin Durant,SF,34,PHO,8,8,33.6,9.1,2.8,6,6.4
138,Jalen Duren,C,19,DET,67,31,24.9,3.9,0,5.5,8.9
139,Tari Eason,PF,21,HOU,82,5,21.5,3.6,0.7,3.7,6
140,Anthony Edwards,SG,21,MIN,79,79,36,8.9,2.7,5.2,5.8
141,Kessler Edwards,SF,22,TOT,36,4,10.7,1,0.5,1.1,1.7
141,Kessler Edwards,SF,22,BRK,14,1,5.6,0.4,0.1,0.6,1
141,Kessler Edwards,SF,22,SAC,22,3,13.9,1.4,0.7,1.4,2.1
142,Keon Ellis,SG,23,SAC,16,0,4.4,0.4,0.4,0.3,0.5
143,Joel Embiid,C,28,PHI,66,66,34.6,11,1,8.4,10.2
144,Drew Eubanks,C,25,POR,78,28,20.3,2.7,0.1,3.7,5.4
145,Bruno Fernando,C,24,TOT,39,4,10.4,1.5,0,2.1,3.5
145,Bruno Fernando,C,24,HOU,31,4,11.7,1.5,0,2.4,3.9
145,Bruno Fernando,C,24,ATL,8,0,5.1,1.4,0,1.1,1.9
146,Dorian Finney-Smith,PF,29,TOT,66,66,30.4,3,1.7,3.1,4.8
146,Dorian Finney-Smith,PF,29,DAL,40,40,32.2,3.2,1.9,3,4.7
146,Dorian Finney-Smith,PF,29,BRK,26,26,27.7,2.6,1.4,3.1,4.9
147,Malachi Flynn,PG,24,TOR,53,2,13,1.6,0.9,1.2,1.4
